Rank,Sport,Total,Agility,Analytical-Aptitude,Durability,Endurance,Flexibility,Hand-Eye-Coordination,Nerve,Power,Speed,Strength
55,Archery,30.625,1.63,3.25,2.13,2.88,2.63,6.63,2.75,3.13,1.13,4.5
32,Auto Racing,47.875,2.75,7.5,4.38,5.88,1.75,8,9.88,2.63,1.63,3.5
30,Badminton,48,7.38,6.13,2.63,5.25,5.25,7.25,1.25,4,5.63,3.25
9,Baseball/Softball,62.25,6.75,6.25,5.63,4.63,4.75,9.25,5.13,7.63,6.5,5.75
4,Basketball,67.875,8.13,7.38,7.75,7.38,5.63,7.5,4.13,6.5,7.25,6.25
59,Billiards,21.5,1,5.75,0.75,1,2.63,5.25,1.63,1.75,0.75,1
28,Bobsledding/Luge,49.25,4.13,4.25,3.5,3.5,3.25,4.13,7.75,6.5,6.75,5.5
57,Bowling,25.375,1.88,4.13,1.25,2.25,2.38,4.75,1.63,3.38,1,2.75
1,Boxing,72.375,6.25,5.63,8.5,8.63,4.38,7,8.88,8.63,6.38,8.13
49,Canoe/Kayak,42,2.75,4.25,3.25,6.75,3.88,3.13,3.63,5.63,3.5,5.25
52,Cheerleading,36.25,4.13,2.25,3.38,3.63,7.5,2.5,3.63,3.38,2.25,3.63
56,Curling,27.5,2.25,5.63,1.5,2.25,2.63,4.88,1.75,2.5,1.5,2.63
20,Cycling: Distance,54.375,3.75,4.88,6.88,9.63,2.63,3,5.88,6.25,5.13,6.38
27,Cycling: Sprints,50,4,4.5,4.5,4.25,2.88,3.63,4.75,7.88,7.5,6.13
35,Diving,47,3.5,3,5,2.88,8.5,3,8.38,4.63,3,5.13
54,Equestrian,31.75,2.5,5.13,2.75,3.38,2.88,2.88,6,1.75,1.25,3.25
24,Fencing,52.75,6.13,6.88,4.25,4.63,5.63,7.25,4.88,4.25,5.13,3.75
17,Field Hockey,54.875,5.75,6.5,5,6.75,4.63,6.63,3.75,5.38,6,4.5
19,Figure Skating,54.75,6.88,4.25,4,6.38,8.25,3.13,4.88,6.63,5.13,5.25
60,Fishing,14.5,1.5,2.88,0.88,1.38,1.13,2.38,0.88,1.25,0.63,1.63
3,Football,68.375,6.38,7.13,8.5,5.38,4.38,5.5,7.25,8.13,7.13,8.63
51,Golf,37.875,1.75,6.38,2.38,3.25,4,6,2.5,6.13,1.63,3.88
8,Gymnastics,62.5,6.38,4.13,6.88,5.38,10,4.5,7.5,6.63,5,6.13
50,Horse Racing,41.625,2.88,6.5,4.5,4,3.75,3.88,8,2.88,1.38,3.88
2,Ice Hockey,71.75,7.63,7.5,8.25,7.25,4.88,7.5,6,7.88,7.75,7.13
14,Lacrosse,60.375,6.63,6.88,6.13,6.63,4.75,7.13,4.38,5.75,7,5.13
6,Martial Arts,63.375,6,6.88,5.88,5,7,6,6.63,7.75,6.38,5.88
22,Racquetball/Squash,53.625,7.25,6.5,2.88,6.13,5.88,8.38,2.38,5,5.5,3.75
42,Rodeo: Bull/Bareback/Bronc Riding,45.875,3.63,3.13,7.38,3.25,4.25,3.63,9.5,4,1.75,5.38
40,Rodeo: Calf Roping,46,5.63,3.75,3.75,3.13,3.88,6.38,4.88,5,4.25,5.38
15,Rodeo: Steer Wrestling,56.5,4.88,4,6.88,4,5,5.13,7.88,7.88,3.88,7
52,Roller Skating,36.25,4,2.63,3.38,4.75,3.5,2.88,2.63,4,5.13,3.38
39,Rowing,46.125,2.5,3.63,4.38,8.13,4,2.88,1.75,7.13,4,7.75
13,Rugby,60.5,6,5.63,7.88,6.75,4.13,4.38,6.5,6.38,5.88,7
58,Shooting,24.875,1.13,4,1.88,2.25,1.75,6.75,2.38,1.38,0.88,2.5
37,Skateboarding,46.75,6.13,3.13,5.25,4.13,5.13,4.88,6.5,3.75,4.13,3.75
29,Ski Jumping,48.875,4,3.5,4.63,3.5,5,4.38,9,5.75,4.63,4.5
11,Skiing: Alpine,60.625,6.13,5.63,6,5.13,5.63,5.13,8.38,6,7.38,5.25
25,Skiing: Freestyle,52.5,6.63,3.88,5.13,4.13,6.88,4.13,6.63,4.88,5.13,5.13
30,Skiing: Nordic,48,4,3.88,5.5,9,4,3.63,2.75,4.38,5.13,5.75
10,Soccer,61.5,8.25,7.5,6.25,7.75,4.75,6.5,3.63,5.13,7.25,4.5
17,Speed Skating,54.875,4,3.5,4.63,7.63,4.25,2.88,4.5,7.38,8.88,7.25
23,Surfing,53.125,6.63,4.88,5.5,4.63,5.5,4.38,8.25,4.13,4.25,5
36,Swimming (all strokes): Distance,46.875,3.63,3,4.63,9.25,5.5,2.88,2.63,4.63,5.5,5.25
45,Swimming (all strokes): Sprints,44.125,3.63,3,3.25,4.13,5.5,2.75,2.5,6.25,7.88,5.25
47,Table Tennis,43,5.88,6,1.88,3.5,4.25,8.88,1.38,4.63,4.13,2.5
26,Team Handball,50.75,6,5.88,3.88,4.88,4.5,7.88,3,5.38,5.5,3.88
7,Tennis,62.75,7.75,6.75,5,7.25,5.63,8.38,3,7.13,6.75,5.13
40,Track and Field: Distance,46,3.25,4.13,5.75,9.63,4.38,1.88,2,3.75,6,5.25
33,Track and Field: High Jump,47.75,5.63,2.88,3.5,3,6.63,3.5,3.5,7,6.13,6
34,"Track and Field: Long, Triple jumps",47.375,5,3.13,3.25,4,5.75,4,2.75,7.13,6.75,5.63
43,Track and Field: Middle Distance,45.5,4,3.75,4.75,6,4.88,2.13,2,5.13,7.75,5.13
16,Track and Field: Pole Vault,55.875,5.38,3.75,4.25,3.38,7,5.25,6.63,7.25,6.13,6.88
38,Track and Field: Sprints,46.625,4.63,2.38,4.13,3.5,5.13,2.63,2,7.25,9.88,5.13
48,Track and Field: Weights,42.125,3.13,2.88,3.63,3.25,3,4,2.25,9.13,3,7.88
20,Volleyball,54.375,7,5.88,4.63,5.13,5.13,7.25,2.88,6.63,5,4.88
11,Water Polo,60.625,6.38,5.63,6.38,7.88,5,6.25,4.25,6.88,5.38,6.63
46,Water Skiing,44,4.25,3.25,4.63,4.63,4.75,4.13,5.88,4.5,3,5
44,Weight-Lifting,45,2.5,2.38,4.75,4.13,3.38,2.25,4,9.75,2.63,9.25
5,Wrestling,63.5,6.38,6.38,6.75,6.63,7.5,4.25,5,7.13,5.13,8.38
