time,Passengers,Station,500,1000,1500,2000,2500
5:00,12,Deák tér - Bajcsi-Zsilinszky út,12,-488,-988,-1488,-1988
6:00,212,Deák tér - Bajcsi-Zsilinszky út,212,-288,-788,-1288,-1788
7:00,530,Deák tér - Bajcsi-Zsilinszky út,530,30,-470,-970,-1470
8:00,1578,Deák tér - Bajcsi-Zsilinszky út,1578,1078,578,78,-422
9:00,1662,Deák tér - Bajcsi-Zsilinszky út,1662,1162,662,162,-338
10:00,1214,Deák tér - Bajcsi-Zsilinszky út,1214,714,214,-286,-786
11:00,1049,Deák tér - Bajcsi-Zsilinszky út,1049,549,49,-451,-951
12:00,988,Deák tér - Bajcsi-Zsilinszky út,988,488,-12,-512,-1012
13:00,1012,Deák tér - Bajcsi-Zsilinszky út,1012,512,12,-488,-988
14:00,1187,Deák tér - Bajcsi-Zsilinszky út,1187,687,187,-313,-813
15:00,1362,Deák tér - Bajcsi-Zsilinszky út,1362,862,362,-138,-638
16:00,1652,Deák tér - Bajcsi-Zsilinszky út,1652,1152,652,152,-348
17:00,1839,Deák tér - Bajcsi-Zsilinszky út,1839,1339,839,339,-161
18:00,1805,Deák tér - Bajcsi-Zsilinszky út,1805,1305,805,305,-195
19:00,2168,Deák tér - Bajcsi-Zsilinszky út,2168,1668,1168,668,168
20:00,942,Deák tér - Bajcsi-Zsilinszky út,942,442,-58,-558,-1058
21:00,696,Deák tér - Bajcsi-Zsilinszky út,696,196,-304,-804,-1304
22:00,413,Deák tér - Bajcsi-Zsilinszky út,413,-87,-587,-1087,-1587
23:00,246,Deák tér - Bajcsi-Zsilinszky út,246,-254,-754,-1254,-1754
0:00,109,Vörösmarty tér - Deák tér,109,-391,-891,-1391,-1891
5:00,2,Vörösmarty tér - Deák tér,2,-498,-998,-1498,-1998
6:00,16,Vörösmarty tér - Deák tér,16,-484,-984,-1484,-1984
7:00,48,Vörösmarty tér - Deák tér,48,-452,-952,-1452,-1952
8:00,69,Vörösmarty tér - Deák tér,69,-431,-931,-1431,-1931
9:00,81,Vörösmarty tér - Deák tér,81,-419,-919,-1419,-1919
10:00,129,Vörösmarty tér - Deák tér,129,-371,-871,-1371,-1871
11:00,163,Vörösmarty tér - Deák tér,163,-337,-837,-1337,-1837
12:00,224,Vörösmarty tér - Deák tér,224,-276,-776,-1276,-1776
13:00,205,Vörösmarty tér - Deák tér,205,-295,-795,-1295,-1795
14:00,285,Vörösmarty tér - Deák tér,285,-215,-715,-1215,-1715
15:00,272,Vörösmarty tér - Deák tér,272,-228,-728,-1228,-1728
16:00,342,Vörösmarty tér - Deák tér,342,-158,-658,-1158,-1658
17:00,644,Vörösmarty tér - Deák tér,644,144,-356,-856,-1356
18:00,416,Vörösmarty tér - Deák tér,416,-84,-584,-1084,-1584
19:00,396,Vörösmarty tér - Deák tér,396,-104,-604,-1104,-1604
20:00,221,Vörösmarty tér - Deák tér,221,-279,-779,-1279,-1779
21:00,149,Vörösmarty tér - Deák tér,149,-351,-851,-1351,-1851
22:00,121,Vörösmarty tér - Deák tér,121,-379,-879,-1379,-1879
23:00,67,Vörösmarty tér - Deák tér,67,-433,-933,-1433,-1933
0:00,30,Vörösmarty tér - Deák tér,30,-470,-970,-1470,-1970
